SPACEPORT_REC_ID,SPACEPORT_NAME,LATITUDE,LONGITUDE,OWNER_NAME,FAA_LOC_ID,LOCATION_1,LOCATION_2
1,Blue Origin Landing Platform Strip,NULL,NULL,Blue Origin,NULL,NULL,NULL
2,Cape Canaveral Air Force Station,28.488889,-80.577778,Department of Defense,XMR,Cape Canaveral,Florida
3,Cecil Spaceport,30.218611,-81.876667,Jacksonville Aviation Authority,VQQ,Jacksonville,Florida
4,Colorado Air and Space Port,39.785278,-104.543056,Front Range Airport Authority,CFO,Adams County,Colorado
5,Corn Ranch,31.423333,-104.758889,Blue Origin,NULL,Van Horn,Texas
6,Edwards Air Force Base,34.905556,-117.883611,Department of Defense,EDW,Lancaster,California
7,Ellington Airport,29.607222,-95.158889,City of Houston,EFD,Houston,Texas
8,John F. Kennedy Space Center,28.524167,-80.650833,NASA,NULL,Merritt Island,Florida
9,Mid-Atlantic Regional Spaceport,37.843333,-75.478056,NASA,NULL,Wallops Island,Virginia
10,Midland International Air and Space Port,31.9425,-102.201944,City of Midland,MAF,Midland,Texas
11,Mojave Air and Space Port,35.059444,-118.151667,East Kern Airport District,MHV,Mojave,California
12,Oklahoma Air & Space Port,35.339722,-99.200556,Oklahoma Space Industry Development Authority,CSM,Burns Flat,Oklahoma
13,Pacific Missile Range Facility,22.022778,-159.785,United States Navy,BKH,Kekaha,Hawaii
14,Pacific Spaceport Complex - Alaska,57.435883,-152.337778,Alaska Aerospace Corporation,NULL,Kodiak Island,Alaska
15,Poker Flat Research Range,65.116667,-147.466667,University of Alaska Fairbanks Geophysical Institute,NULL,Fairbanks,Alaska
16,Ronald Reagan Ballistic Missile Defense Site - Roi-Namur,9.39693,167.47249,US Army Space and Missile Defense Command,NULL,Kwajalein Atoll,Marshall Islands
17,Ronald Reagan Ballistic Missile Defense Site - Wake Island,19.278739,166.649253,US Army Space and Missile Defense Command,NULL,Wake Island,Marshall Islands
18,Space Coast Regional Airport,28.5148,-80.799228,Titusville-Cocoa Airport Authority,TIX,Titusville,Florida
19,Spaceport America,32.990278,-106.969722,New Mexico Spaceport Authority,9NM9,Truth or Consequences,New Mexico
20,Spaceport Camden,30.9275,-81.514722,NULL,NULL,Woodbine,Georgia
21,SpaceX Rocket Development and Test Facility,31.398608,-97.461927,SpaceX,NULL,McGregor,Texas
22,SpaceX South Texas Launch Site,25.997,-97.157,SpaceX,NULL,Brownsville,Texas
23,Vandenberg Air Force Base,34.732778,-120.568056,Department of Defense,VBG,Lompoc,California
24,White Sands Space Harbor,32.943242,-106.419531,NASA,NULL,Las Cruces,New Mexico
