data__locator_id,data__facility_name,data__city,data__state,data__tie_facility,data__artcc_id
00A,TOTAL RF HELIPORT,BENSALEM,PENNSYLVANIA,IPT,ZNY
00AA,AERO B RANCH ARPT,LEOTI,KANSAS,ICT,ZDV
00AK,LOWELL FLD ARPT,ANCHOR POINT,ALASKA,HOM,ZAN
00AL,EPPS AIRPARK ARPT,HARVEST,ALABAMA,ANB,ZME
00AR,ARLAND ARPT,BENNINGTON,KANSAS,ICT,ZKC
00AS,FULTON ARPT,ALEX,OKLAHOMA,ICT,ZFW
00AZ,GRAND CANYON WEST ARPT,PEACH SPRINGS,ARIZONA,null,null
00C,ANIMAS AIR PARK ARPT,DURANGO,COLORADO,DEN,ZDV
00CA,GOLDSTONE /GTS/ ARPT,BARSTOW,CALIFORNIA,RAL,ZLA
00CL,WILLIAMS AG ARPT,BIGGS,CALIFORNIA,RIU,ZOA
00CN,KITCHEN CREEK HELIBASE HELIPORT,PINE VALLEY,CALIFORNIA,SAN,ZLA
00CT,ARPT,THOMASTON,CONNECTICUT,null,null
00F,BROADUS ARPT,BROADUS,MONTANA,GTF,ZLC
00FA,GRASS PATCH ARPT,BUSHNELL,FLORIDA,PIE,ZMA
00FD,DAVIS FLD ARPT,WINFILED,KANSAS,ICT,ZKC
00FL,RIVER OAK ARPT,OKEECHOBEE,FLORIDA,PIE,ZMA
00GA,LT WORLD ARPT,LITHONIA,GEORGIA,MCN,ZTL
00GE,CAFFREY HELIPORT,HIRAM,GEORGIA,MCN,ZTL
00ID,DELTA SHORES ARPT,CLARK FORK,IDAHO,BOI,ZSE
00IG,GOLTL ARPT,MCDONALD,KANSAS,ICT,ZDV
00IL,HAMMER ARPT,POLO,ILLINOIS,IKK,ZAU
00IN,ST MARY MEDICAL CENTER HELIPORT,HOBART,INDIANA,HUF,ZAU
00IS,HAYENGA'S CANT FIND FARMS ARPT,KINGS,ILLINOIS,IKK,ZAU
00KS,HAYDEN FARM ARPT,GARDNER,KANSAS,ICT,ZKC
00KT,ST CLAIRE REGIONAL MEDICAL CENTER HELIPORT,MOREHEAD,KENTUCKY,null,null
00KY,ROBBINS ROOST ARPT,STANFORD,KENTUCKY,LOU,ZID
00LA,SHELL CHEMICAL EAST SITE HELIPORT,GONZALES,LOUISIANA,DRI,ZHU
00LS,LEJEUNE ARPT,ESTERWOOD,LOUISIANA,DRI,ZHU
00M,THIGPEN FLD ARPT,BAY SPRINGS,MISSISSIPPI,GWO,ZME
00MD,SLATER FLD ARPT,FEDERALSBURG,MARYLAND,DCA,ZDC
00MI,THE WALDRON WAY HELIPORT,DAVISON,MICHIGAN,LAN,ZOB
00MN,BATTLE LAKE MUNI ARPT,BATTLE LAKE,MINNESOTA,PNM,ZMP
00MO,COOPER FLYING SERVICE ARPT,ALBA,MISSOURI,COU,ZKC
00MT,LIVINGSTON HEALTHCARE HELIPORT,LIVINGSTON,MONTANA,GTF,ZLC
00N,BUCKS ARPT,BRIDGETON,NEW JERSEY,MIV,ZDC
00NC,NORTH RALEIGH ARPT,LOUISBURG,NORTH CAROLINA,RDU,ZDC
00NJ,COLGATE-PISCATAWAY HELIPORT,NEW BRUNSWICK,NEW JERSEY,MIV,ZNY
00NK,CLICHE COVE SPB,BEEKMANTOWN,NEW YORK,BTV,ZBW
00NR,RODANTHE DARE COUNTY HELIPORT,RODANTHE,NORTH CAROLINA,RDU,ZDC
00NY,WEISS AIRFIELD ARPT,WEST BLOOMFIELD,NEW YORK,BUF,ZOB
00OH,GOOD SAMARITAN MEDICAL CENTER HELIPORT,CINCINNATI,OHIO,DAY,ZID
00OI,MIAMI VALLEY HOSPITAL HELIPORT,DAYTON,OHIO,DAY,ZID
00OK,GULL BAY LANDING ARPT,SANDSPRINGS,OKLAHOMA,MLC,ZKC
00PN,FERRELL FLD ARPT,MERCER,PENNSYLVANIA,AOO,ZOB
00R,LIVINGSTON MUNI ARPT,LIVINGSTON,TEXAS,CXO,ZHU
00S,MC KENZIE BRIDGE STATE ARPT,MC KENZIE BRIDGE,OREGON,MMV,ZSE
00SC,FLYING O ARPT,SUMTER,SOUTH CAROLINA,AND,ZJX
00SD,HOMAN FLD ARPT,GARY,SOUTH DAKOTA,HON,ZMP
00TA,SABINE PILOTS HELIPORT,PORT ARTHUR,TEXAS,CXO,ZHU
00TE,TCJC-NORTHEAST CAMPUS HELIPORT,FORT WORTH,TEXAS,FTW,ZFW
00TN,RAGSDALE ROAD ARPT,MANCHESTER,TENNESSEE,BNA,ZME
00TS,ALPINE RANGE ARPT,EVERMAN,TEXAS,FTW,ZFW
00TX,DELVA FLD ARPT,VAN,TEXAS,FTW,ZFW
00U,BIG HORN COUNTY ARPT,HARDIN,MONTANA,GTF,ZLC
00VA,VAUGHAN ARPT,ALTON,VIRGINIA,DCA,ZDC
00VI,GROUNDHOG MOUNTAIN ARPT,HILLSVILLE,VIRGINIA,DCA,ZTL
00W,LOWER GRANITE STATE ARPT,COLFAX,WASHINGTON,SEA,ZSE
00WA,HOWELL ARPT,LONGBRANCH,WASHINGTON,SEA,ZSE
00WI,NORTHERN LITE ARPT,WAUPACA,WISCONSIN,GRB,ZMP
00WN,HAWKS RUN ARPT,ASOTIN,WASHINGTON,SEA,ZSE
00WV,LAZY J AERODROME ARPT,BEVERLY,WEST VIRGINIA,EKN,ZDC
00WY,MOUNTAIN VIEW RGNL HOSPITAL HELIPORT,CASPER,WYOMING,CPR,ZDV
00XA,WEESKI RANCH ARPT,HEMPSTEAD,TEXAS,CXO,ZHU
00Z,GEOREF PT.,NIHOA ISLAND,HAWAII,null,null
01A,PURKEYPILE ARPT,PURKEYPILE,ALASKA,FAI,ZAN
01AA,DONLIN CREEK ARPT,CROOKED CREEK,ALASKA,ENA,ZAN
01AK,PROVIDENCE SEWARD MEDICAL CENTER HELIPORT,SEWARD,ALASKA,ENA,ZAN
01AL,WARE ISLAND ARPT,CLANTON,ALABAMA,ANB,ZTL
01AR,COMMUNITY HOSPITAL OF DE QUEEN HELIPORT,DE QUEEN,ARKANSAS,JBR,ZFW
01AZ,YAT HELIPORT,CAMP VERDE,ARIZONA,PRC,ZAB
01B,TIPPECANOE SPB,WARSAW,INDIANA,HUF,ZAU
01CA,LUGO SUBSTATION HELIPORT,HESPERIA,CALIFORNIA,RAL,ZLA
01CL,SWANSBORO COUNTRY ARPT,PLACERVILLE,CALIFORNIA,RIU,ZOA
01CO,ST VINCENT GENERAL HOSPITAL HELIPORT,LEADVILLE,COLORADO,DEN,ZDV
01CT,BERLIN FAIRGROUNDS HELIPORT,BERLIN,CONNECTICUT,BDR,ZBW
01D,LAKE WAWASEE SPB,SYRACUSE,INDIANA,HUF,ZAU
01E,LAKE JAMES SPB,ANGOLA,INDIANA,HUF,ZAU
