NOTAM_REC_ID,FNS_ID,FILENAME,NOTAM_ID,NOTAM_TYPE,RELATED_NOTAM_ID,SIMPLE_TEXT,LOC_ID_ACCOUNTABLE_ORG,NOTAM_NUMBER,RELATED_NOTAM_NUMBER,TEXT,Q_CODE,Q_CODE_INTERPRETATION,A_CODE,B_CODE,C_CODE,D_CODE,E_CODE,F_CODE,G_CODE,CLASSIFICATION,POSSIBLE_NOTAM_ID,MIN_ALT,MAX_ALT,MIN_ALT_REF_TYPE,MAX_ALT_REF_TYPE,POSSIBLE_START_DATE,POSSIBLE_END_DATE,ISSUE_DATE,CANCELED_DATE,AFFECTED_FIR,DESIGNATOR,DESIGNATOR_NAME,LOCATION_NAME,ACCOUNT_ID,LOCATION_CODE,LAUNCHES_REC_ID
1,FNS_ID_43130705,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0604/16,NULL,NULL,!SUAC 05/604 ZAU AIRSPACE VOLK SOUTH MOA ACT 500FT UP TO BUT NOT INCLUDING FL180 1605241730-1605241945,SUAC,05/604,NULL,AIRSPACE VOLK SOUTH MOA ACT 500FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE VOLK SOUTH MOA ACT 500FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,DOM,0604/16,5,180,NULL,NULL,30:00.0,45:00.0,35:00.0,10:00.0,NULL,NULL,NULL,ZAU ARTCC,SUAC,ZAU,NULL
2,FNS_ID_43130704,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0603/16,NULL,NULL,!SUAC 05/603 ZAU AIRSPACE VOLK EAST MOA ACT 8000FT UP TO BUT NOT INCLUDING FL180 1605241730-1605241945,SUAC,05/603,NULL,AIRSPACE VOLK EAST MOA ACT 8000FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE VOLK EAST MOA ACT 8000FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,DOM,0603/16,80,180,NULL,NULL,30:00.0,45:00.0,35:00.0,10:00.0,NULL,NULL,NULL,ZAU ARTCC,SUAC,ZAU,NULL
3,FNS_ID_43130706,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0605/16,NULL,NULL,!SUAC 05/605 ZMP AIRSPACE FALLS 1 MOA ACT 500FT UP TO BUT NOT INCLUDING FL180 1605241730-1605241945,SUAC,05/605,NULL,AIRSPACE FALLS 1 MOA ACT 500FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE FALLS 1 MOA ACT 500FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,DOM,0605/16,5,180,NULL,NULL,30:00.0,45:00.0,35:00.0,10:00.0,NULL,NULL,NULL,ZMP ARTCC,SUAC,ZMP,NULL
4,FNS_ID_43130708,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0607/16,NULL,NULL,!SUAC 05/607 ZMP AIRSPACE FALLS 2 MOA ACT 500FT UP TO BUT NOT INCLUDING FL180 1605241730-1605241945,SUAC,05/607,NULL,AIRSPACE FALLS 2 MOA ACT 500FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE FALLS 2 MOA ACT 500FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,DOM,0607/16,5,180,NULL,NULL,30:00.0,45:00.0,35:00.0,10:00.0,NULL,NULL,NULL,ZMP ARTCC,SUAC,ZMP,NULL
5,FNS_ID_43130703,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0602/16,NULL,NULL,!SUAC 05/602 ZMP AIRSPACE VOLK WEST MOA ACT 100FT UP TO BUT NOT INCLUDING FL180 1605241730-1605241945,SUAC,05/602,NULL,AIRSPACE VOLK WEST MOA ACT 100FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE VOLK WEST MOA ACT 100FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,DOM,0602/16,1,180,NULL,NULL,30:00.0,45:00.0,35:00.0,10:00.0,NULL,NULL,NULL,ZMP ARTCC,SUAC,ZMP,NULL
6,FNS_ID_43134995,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,A2965/16,NOTAMN,NULL,NULL,NULL,NULL,NULL,ILS SV 109.5 MHZ RWY 03 U/S,SAEF/QIMAS/I/BO/A/000/999/3143S06048W005,MIDDLE MARKER ILS UNSERVICEABLE,SAAV,05:00.0,00:00.0,NULL,ILS SV 109.5 MHZ RWY 03 U/S ,0,999,INTL,A2965/16 NOTAMN,0,999,MSL,MSL,05:00.0,00:00.0,11:00.0,NULL,SAEF,NULL,NULL,SAUCE VIEJO,SAEZYNYX,SAAV,NULL
7,FNS_ID_43134844,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0008/16,NULL,NULL,!YQY 05/008 YQY  CYQY ILS 07 U/S  1605241850-1605242100,YQY,05/008,NULL,CYQY ILS 07 U/S,NULL,NULL,NULL,NULL,NULL,NULL,CYQY ILS 07 U/S,NULL,NULL,DOM,0008/16,NULL,NULL,NULL,NULL,50:00.0,00:00.0,51:00.0,10:00.0,NULL,NULL,NULL,SYDNEY,YQY,YQY,NULL
8,FNS_ID_43105760,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0016/16,NOTAMN,NULL,!SEE 05/016 SEE RWY 17/35 CLSD EXC XNG  1605241400-1605242300,SEE,05/016,NULL,RWY 17/35 CLSD EXC XNG,NULL,NULL,NULL,NULL,NULL,NULL,RWY 17/35 CLSD EXC XNG,NULL,NULL,DOM,0016/16 NOTAMN,NULL,NULL,NULL,NULL,00:00.0,00:00.0,02:00.0,11:00.0,NULL,SEE,GILLESPIE FIELD,GILLESPIE FIELD,SEE,KSEE,NULL
9,FNS_ID_43134963,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0638/16,NULL,NULL,!SUAC 05/638 ZAB AIRSPACE JACKAL MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180 1605250101-1605250110,SUAC,05/638,NULL,AIRSPACE JACKAL MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE JACKAL MOA ACT 11000FT UP TO BUT NOT INCLUDING FL180,NULL,NULL,DOM,0638/16,110,180,NULL,NULL,01:00.0,10:00.0,05:00.0,NULL,NULL,NULL,NULL,ZAB ARTCC,SUAC,ZAB,NULL
10,FNS_ID_43134962,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T1918Z_tmp.xml,0637/16,NULL,NULL,!SUAC 05/637 ZAB AIRSPACE JACKAL LOW MOA ACT 100FT-10999FT 1605250101-1605250110,SUAC,05/637,NULL,AIRSPACE JACKAL LOW MOA ACT 100FT-10999FT,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE JACKAL LOW MOA ACT 100FT-10999FT,NULL,NULL,DOM,0637/16,1,109.99,NULL,NULL,01:00.0,10:00.0,05:00.0,NULL,NULL,NULL,NULL,ZAB ARTCC,SUAC,ZAB,NULL
